"","kfolds","trainingError","accuracy","trueNegatives","truePositives","falseNegatives","falsePositives","precision","recall","specificity","sensitivity"
"1",2,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"2",3,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"3",4,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"4",5,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"5",6,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"6",7,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"7",8,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"8",9,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"9",10,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"10",11,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"11",12,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"12",13,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"13",14,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"14",15,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"15",16,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"16",17,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"17",18,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"18",19,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"19",20,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"20",21,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"21",22,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"22",23,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"23",24,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"24",25,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"25",26,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"26",27,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"27",28,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"28",29,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"29",30,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"30",31,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"31",32,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"32",33,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"33",34,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"34",35,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"35",36,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"36",37,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"37",38,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"38",39,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"39",40,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"40",41,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"41",42,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"42",43,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"43",44,0.13953488372093,0.86046511627907,98,13,12,6,0.684210526315789,0.52,0.52,0.942307692307692
"44",45,0.13953488372093,0.86046511627907,98,13,12,6,0.684210526315789,0.52,0.52,0.942307692307692
"45",46,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"46",47,0.13953488372093,0.86046511627907,98,13,12,6,0.684210526315789,0.52,0.52,0.942307692307692
"47",48,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"48",49,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"49",50,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"50",51,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"51",52,0.13953488372093,0.86046511627907,98,13,12,6,0.684210526315789,0.52,0.52,0.942307692307692
"52",53,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"53",54,0.13953488372093,0.86046511627907,98,13,12,6,0.684210526315789,0.52,0.52,0.942307692307692
"54",55,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"55",56,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"56",57,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"57",58,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"58",59,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"59",60,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"60",61,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"61",62,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"62",63,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"63",64,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"64",65,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"65",66,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"66",67,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"67",68,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"68",69,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"69",70,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"70",71,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"71",72,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"72",73,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"73",74,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"74",75,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"75",76,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"76",77,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"77",78,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"78",79,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"79",80,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"80",81,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"81",82,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"82",83,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"83",84,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"84",85,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"85",86,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"86",87,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"87",88,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"88",89,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"89",90,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"90",91,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"91",92,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"92",93,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"93",94,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"94",95,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"95",96,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"96",97,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"97",98,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"98",99,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"99",100,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
